"item","date","price","trend_value","flag","sentiment","stars"
"B00GOFU81Q","2015-12-07","197.99","76.25","1000.0","",""
"B00OPY0QGA","2015-12-08","407.7","76.875","1000.0","",""
"B00GOFU81Q","2015-12-08","196.49","76.875","1000.0","",""
"B00G4DSSN8","2015-12-08","329","76.875","1000.0","",""
"B00OPY0QGA","2015-12-09","404.9","77.5","1000.0","",""
"B00G4DSSN8","2015-12-09","325","77.5","1000.0","",""
"B00GOFU81Q","2015-12-09","197.99","77.5","1000.0","",""
"B00OPY0QGA","2015-12-10","404.8","77.8125","1000.0","",""
"B00G4DSSN8","2015-12-10","325","77.8125","1000.0","",""
"B00GOFU81Q","2015-12-10","197.96","77.8125","1000.0","",""
"B00OPY0QGA","2015-12-14","396.26","79.5","1000.0","",""
"B00G4DSSN8","2015-12-14","324.7","79.5","1000.0","",""
"B00GOFU81Q","2015-12-14","194.99","79.5","1000.0","",""
"B00OPY0QGA","2015-12-15","395","79.25","1000.0","",""
"B00G4DSSN8","2015-12-15","324.7","79.25","1000.0","",""
"B00GOFU81Q","2015-12-15","196.4","79.25","1000.0","",""
"B00OPY0QGA","2015-12-16","396.16","79","1000.0","",""
"B00G4DSSN8","2015-12-16","324.7","79","1000.0","",""
"B00GOFU81Q","2015-12-16","194.35","79","1000.0","",""
"B00OPY0QGA","2015-12-17","396.16","78.875","1000.0","",""
"B00GOFU81Q","2015-12-17","194.25","78.875","1000.0","",""
"B00G4DSSN8","2015-12-17","315","78.875","1000.0","",""
"B00OPY0QGA","2015-12-18","395.5","78.75","1000.0","",""
"B00G4DSSN8","2015-12-18","324.7","78.75","1000.0","",""
"B00GOFU81Q","2015-12-18","190.16","78.75","1000.0","",""
"B00GOFU81Q","2015-12-19","187.86","78.5","1000.0","",""
"B00G4DSSN8","2015-12-19","316","78.5","1000.0","",""
"B00OPY0QGA","2015-12-19","394.8","78.5","1000.0","",""
"B00G4DSSN8","2015-12-20","315.2","78","1000.0","",""
"B00OPY0QGA","2015-12-20","394.04","78","1000.0","",""
